Sample	Family	Treatment	Lat.x	Long.x	Region	Env	K1	K2	Pair	Sex	FTmeans	BMmeans	LNmeans	NNmeans	SWmeans	PHmeans	FCmeans	SCmeans	Germmeans	COTYmeans	HYPOmeans
5323	140	Control	39.305104	-88.139778	Greenup	Ag	0.5371101	0.4628899	4	M	41	0.085125554	2.415757576	0.725728404	0.165638947	1.66275754	0.013227259	0.004025081	6	0.971651515	2.260466667
5393	42	Control	39.305104	-88.139778	Greenup	Ag	0.6842801	0.3157199	4	M	53.6	0.041180335	0.73531746	0.455621372	0.164497554	0.973851673	0	0	8.4	0.713287698	1.82097619
5395	13	Control	38.558781	-90.447501	Greentree	Nat	0.9022718	0.0977282	7	M	49.4	0.041345162	1.37486174	0.478706169	0.136648958	1.094346347	0.008337406	0.002083333	7.4	0.626448969	1.51708547
4828	100	Control	38.988681	-95.215847	Nunemaker	Ag	1	0	16	M	43.66666667	0.051776925	2.4	0.607160135	0.178353491	1.318642154	0.005555556	0.003436426	6	0.574022876	2.429330065
5100	158	Control	38.927036	-95.241462	Lawrence	Nat	1	0	17	M	50	0.049842105	1.147222222	0.384990253	0.162354426	1.176910581	0	0	7.333333333	1.118	2.822138889
5205	87	Control	39.46407096	-91.68243396	MarkTwain	Nat	0.9999999	1.00E-07	10	M	49.6	0.087155276	1.416286191	0.524480312	0.191834384	1.645132224	0.013222438	0.012881028	5.6	0.547002729	2.65789145
5377	81	Control	38.558781	-90.447501	Greentree	Nat	0.9627912	0.0372088	7	M	44	0.059429749	1.353846154	0.597753491	0.186360049	1.253339405	0.006410256	0.017922554	11.5	0.821730769	2.301961538
4822	191	Control	38.732444	-89.277403	Keysport	Nat	0.7756276	0.2243724	5	M	47.33333333	0.108457831	0.650326797	0.473790386	0.219944681	1.580677699	0.007291418	0.018798119	9.333333333	0.831176471	2.922875817
5208	21	Control	40.12487104	-90.36914203	Browning	Nat	0.5505141	0.4494859	11	M	35	0.062724654	1.805555556	0.504095004	0.243341523	1.445167895	0	0.023233487	5.5	0.715833333	1.665
5326	95	Control	41.15132703	-87.89857297	Kakanee	Nat	0.1290647	0.8709353	14	M	49.33333333	0.00238	0.492470492	0.329434615	0.071827677	0.502977358	0.005	0.005	11	0.867155067	1.44952788
5381	12	Control	38.670222	-90.065665	Granite	Ag	0.9425411	0.0574589	6	M	58.33333333	0.026717072	0.435327635	0.339217375	0.11938754	0.593434613	0.019230769	0.010222672	7.666666667	0.741695157	2.435287749
5294	105	Control	41.03727398	-83.81345096	Blanchard	Nat	0.1580356	0.8419644	2	M	34.33333333	0.060106543	1.061111111	0.685396141	0.304341133	1.921088191	0.007666887	0.015157524	8	0.751611111	2.487611111
5359	6	Control	39.01893298	-84.92674196	AgLaughrey	Ag	0.4522718	0.5477282	3	M	45.66666667	0.080575563	0.883333333	0.638952551	0.229558824	1.683014175	0.003205128	0.006908832	7.333333333	0.880115385	1.906701923
5385	162	Control	39.393248	-88.163216	FoxRidge	Nat	0.9859223	0.0140777	4	M	45.25	0.078382727	0.568308081	0.601418934	0.209645558	1.545522036	0.00870098	0	7.4	0.880424242	2.876643939
5368	17	Control	38.66783702	-91.55559699	Gascondale	Nat	0.9229285	0.0770715	9	M	48.5	0.151573746	1.556168301	0.516813829	0.210361052	1.611274993	0.006024531	0.006024531	7.5	0.810989583	1.654804943
5317	171	Control	39.001464	-95.239938	Kansas	Nat	0.9688096	0.0311904	16	M	51.42857143	0.065948903	1.150229741	0.504699763	0.157554033	1.243645234	0.006883469	0.008528564	8.285714286	0.954310777	2.84902736
5099	46	Control	38.670222	-90.065665	Granite	Ag	0.8984693	0.1015307	6	M	53.33333333	0.099811784	1.8125	0.591414141	0.169045455	1.162474747	0.003205128	0.010126841	7	0.516236111	1.086777778
5394	146	Control	38.66890403	-90.63545798	Chesterfield	Ag	0.5237612	0.4762388	7	M	37.16666667	0.089813893	1.787104794	0.539691717	0.232988735	1.729156154	0.00770706	0.012228971	7	0.62646965	2.449449808
5225	194	Control	38.988681	-95.215847	Nunemaker	Ag	0.999994	6.00E-06	16	M	47.5	0.129533333	1.399350649	0.621293801	0.17893531	1.674079066	0	0	8	0.966071429	2.243441558
5333	70	Control	41.37218297	-83.79889	Weston	Ag	0.545952	0.454048	1	M	41	0.032062131	1.462121212	0.500617284	0.16895679	1.084876543	0.005813953	0	6.333333333	0.6	1.28730303
5122	38	Control	41.06360497	-83.78943597	Mccombe	Ag	1	0	2	M	41	0.041897293	1.317005135	0.506607698	0.17973797	1.275285433	0.002564103	0	6.4	0.724599907	2.776265406
4895	102	Control	38.782048	-95.171401	Baldwin	Ag	0.9373773	0.0626227	17	M	46.33333333	0.093390221	0.864102564	0.507870657	0.20731517	1.577086343	0.006872852	0.003436426	7.333333333	0.829115385	2.662839744
5102	172	Control	38.988681	-95.215847	Nunemaker	Ag	0.9586832	0.0413168	16	M	47.6	0.095887673	1.202969925	0.546296343	0.204078691	1.499843727	0.004531646	0.002531646	8.4	0.921003383	2.912628195
5396	177	Control	39.393248	-88.163216	FoxRidge	Nat	0.9511469	0.0488531	4	M	65	0.001333333	1.375	0.246153846	0.030461538	0.267692308	0	0	10	0.4125	1.75625
5151	9	Control	38.732444	-89.277403	Keysport	Nat	0.4694832	0.5305168	5	M	56.33333333	0.120528499	0.577777778	0.51107706	0.152541836	1.131750339	0.014670515	0	9.666666667	1.153722222	2.870666667
5264	174	Control	38.782048	-95.171401	Baldwin	Ag	0.6660601	0.3339399	17	M	40.16666667	0.139398802	1.869086615	0.630266792	0.242790401	1.707629348	0.007472335	0.003859884	6.166666667	0.841887345	2.573608729
5089	83	Control	38.65643696	-90.73639403	WeldonSprings	Nat	0.7282962	0.2717038	8	M	52.66666667	0.125746032	0.972222222	0.40782538	0.212866481	1.396509927	0.003703704	0.003703704	6.666666667	0.785213675	2.070457265
5203	68	Control	38.782048	-95.171401	Baldwin	Ag	0.9592073	0.0407927	17	M	46	0.087793049	1.151893939	0.593659728	0.171400205	1.657693052	0.011819641	0.005497161	7.5	0.692692551	2.293589646
4984	77	Control	38.732444	-89.277403	Keysport	Nat	0.5623049	0.4376951	5	M	58	0.075642105	1.588235294	0.413793103	0.215344828	0.982758621	0.010526316	0	8	0.521764706	2.422941176
5296	157	Control	38.988681	-95.215847	Nunemaker	Ag	1	0	16	M	53	0.125468403	6.229665072	0.741503268	0.211332516	1.481633987	0.003472222	0	6	0.796044657	1.167591707
5176	82	Control	38.66890403	-90.63545798	Chesterfield	Ag	0.9792021	0.0207979	7	M	40.75	0.121026635	1.953533497	0.481648676	0.223895809	1.859085826	0.009120314	0.014747234	6.25	0.883988971	1.726959763
5334	149	Control	40.12487104	-90.36914203	Browning	Nat	0.5493884	0.4506116	11	M	51.5	0.024063034	1.586538462	0.457765152	0.13236553	0.935606061	0.009615385	0.004807692	6	0.731089744	2.251891026
5220	49	Control	38.65643696	-90.73639403	WeldonSprings	Nat	0.9359308	0.0640692	8	M	46	0.068712077	0.50952381	0.57778127	0.194813011	1.00924612	0.01191796	0.00304878	8	0.899722222	2.835142857
5285	182	Control	41.16467102	-87.81988903	Bradley	Ag	0.8786228	0.1213772	14	M	45.4	0.055581865	1.597575758	0.615421615	0.169846061	1.442859317	0.006024096	0.007041499	6.2	0.988980808	2.588666667
4832	181	Control	41.15132703	-87.89857297	Kakanee	Nat	0.2076686	0.7923314	14	M	41.75	0.093563256	1.772159091	0.636465438	0.206505968	1.217462206	0.002808989	0	8.25	0.722050866	1.782025433
5329	55	Control	40.12487104	-90.36914203	Browning	Nat	0.6697833	0.3302167	11	M	39.5	0.083010956	3.211538462	0.693420009	0.234335473	1.755059407	0.014968231	0.022350274	6.75	0.493201923	1.434586538
4821	51	Control	38.66783702	-91.55559699	Gascondale	Nat	0.5991747	0.4008253	9	M	43	0.120052182	0.923492895	0.609171881	0.248147137	1.557477269	0.002173913	0.011417689	6	0.807489879	2.660576688
4966	178	Control	39.305104	-88.139778	Greenup	Ag	0.867151	0.132849	4	M	44	0.064218619	1.96271158	0.575411716	0.174008234	1.411481134	0	0	6.333333333	0.631708564	2.350526228
5270	16	Control	38.6589929	-90.7440433	WSCSoy2	Ag	0.6541934	0.3458066	8	M	39	0.081414153	1.313596491	0.536701161	0.207080373	1.507730876	0	0	9.75	0.918590226	1.949921679
5277	125	Control	40.87326997	-88.62446599	Pontiac	Nat	0.9194029	0.0805971	13	M	41.33333333	0.051023834	1.108689459	0.494208446	0.18550662	1.277840905	0.011472409	0.002531646	6.5	0.732240028	1.704931624
4968	183	Control	39.001464	-95.239938	Kansas	Nat	0.9998444	0.0001556	16	M	64.33333333	0.092333537	0.419205794	0.600988912	0.128504538	1.116719608	0.008018926	0.005144576	7.75	0.640321345	2.221837746
4882	53	Control	39.46407096	-91.68243396	MarkTwain	Nat	0.9660152	0.0339848	10	M	46.5	0.043875	2.777089783	0.505319149	0.152294172	1.214153562	0	0	5.5	0.478297214	2.872848297
5330	37	Control	41.03727398	-83.81345096	Blanchard	Nat	0.2454718	0.7545282	2	M	41	NA	0.375	0.512195122	0.248536585	1.463414634	0	0.010752688	9	0.77625	1.41
5316	121	Control	40.12487104	-90.36914203	Browning	Nat	0.5522959	0.4477041	11	M	50.5	0.131532568	2.473101761	0.489207782	0.24568821	1.357938133	0.002604167	0	6	0.572295947	1.548284079
4810	197	Control	38.732444	-89.277403	Keysport	Nat	0.8677972	0.1322028	5	M	45.85714286	0.134036096	1.192027864	0.513863392	0.22927744	1.684757269	0.001472754	0.001605136	6.571428571	0.676798577	2.166960342
4809	150	Control	40.57469501	-89.65567603	Pekin	Nat	0.6943575	0.3056425	12	M	50.28571429	0.044739959	2.018522632	0.344632896	0.174896854	1.140901578	0.006057408	0.002875058	6.714285714	0.736025746	2.139941482
4826	45	Control	38.699066	-90.068054	Pontoon	Nat	0.5792467	0.4207533	6	M	43.66666667	0.150324198	1.5625	0.593064713	0.265685226	1.868747253	0.004219409	0.004219409	7.666666667	0.5365625	1.8846875
4944	89	Control	40.12487104	-90.36914203	Browning	Nat	0.6143955	0.3856045	11	M	45.5	0.153951807	0.477272727	0.504602713	0.294035853	1.238129845	0	0.012048193	8.5	0.720681818	1.134
5150	200	Control	39.305104	-88.139778	Greenup	Ag	0.6759678	0.3240322	4	M	43.75	0.087188037	1.321175556	0.613513058	0.251865532	1.903268957	0.003745318	0	6.5	0.845793226	2.329657548
4919	5	Control	39.05562996	-84.89810603	Aurora	Nat	0.3474447	0.6525553	3	M	47.5	0.091158833	1.173351648	0.584613022	0.230176597	1.729065998	0.014836458	0.029312307	10	0.802900069	2.479286401
5233	122	Control	40.17519498	-90.26269396	Hickory	Ag	0.8810313	0.1189687	11	M	45.8	0.08670922	1.788535354	0.445891608	0.196251573	1.43909965	0.011708851	0.01186136	6	0.773803788	1.929653283
4979	195	Control	39.393248	-88.163216	FoxRidge	Nat	0.9303432	0.0696568	4	M	39.4	0.085657654	1.618968254	0.530555955	0.267027639	1.454129621	0.009615385	0.00212766	8.8	0.848355159	2.37062381
5073	66	Control	38.988681	-95.215847	Nunemaker	Ag	0.9385204	0.0614796	16	M	50.5	0.061595745	0.527777778	0.601022013	0.206590016	1.561242138	0.005319149	0	8.5	0.960763889	2.483541667
5098	128	Control	41.16467102	-87.81988903	Bradley	Ag	0.7468681	0.2531319	14	M	42.16666667	0.109845107	1.443852648	0.646778508	0.229776373	1.708266957	0.012144488	0.008688471	6.833333333	0.77531538	2.91514465
5337	103	Control	41.55656599	-83.66247503	Maume	Nat	0.1669708	0.8330292	1	M	33.5	0.042169846	1.491319444	0.637970323	0.252652479	1.541321602	0	0.031220306	6.25	0.930740741	3.072447917
5357	196	Control	39.305104	-88.139778	Greenup	Ag	0.7062134	0.2937866	4	M	42.8	0.100489263	1.545833333	0.556026794	0.232266032	1.794625729	0.004661247	0.004661247	8.4	1.158975	2.54205
4869	131	Control	39.001464	-95.239938	Kansas	Nat	0.6159621	0.3840379	16	M	46	0.117746091	1.440241228	0.672845291	0.201595864	1.680658358	0.018518519	0.002777778	7	1.03283443	2.744561404
5105	33	Control	38.927036	-95.241462	Lawrence	Nat	0.9412938	0.0587062	17	M	49.33333333	0.0694375	3.402777778	0.619874829	0.177681039	1.194798981	0.010416667	0	6.666666667	0.480694444	1.505416667
5369	31	Control	39.001464	-95.239938	Kansas	Nat	0.2929188	0.7070812	16	M	48	0.101075949	0.777777778	0.6875	0.203958333	1.558333333	0	0	6	0.545	1.503888889
5346	110	Control	39.305104	-88.139778	Greenup	Ag	0.582624	0.417376	4	M	32.6	0.05238429	1.479100311	0.51990038	0.256398601	1.62237162	0.008643929	0.009354168	6.2	0.644861879	2.572350115
4873	28	Control	41.16467102	-87.81988903	Bradley	Ag	0.8586247	0.1413753	14	M	46.6	0.123605289	1.07015873	0.60673708	0.194625951	1.481562947	0	0	6	1.002247619	2.298914286
5084	48	Control	38.66890403	-90.63545798	Chesterfield	Ag	0.9408999	0.0591001	7	M	46.42857143	0.066076599	1.530695612	0.491784973	0.196841568	1.379079072	0.001851852	0	6	0.714445612	2.424544234
5261	163	Control	39.305104	-88.139778	Greenup	Ag	0.5767154	0.4232846	4	M	45.66666667	0.054237144	0.893602694	0.439474404	0.22976613	1.329749003	0.006782345	0	5.666666667	0.71356229	2.93996633
5378	111	Control	38.732444	-89.277403	Keysport	Nat	0.8247284	0.1752716	5	M	54	0.044881235	1.2125	0.387643799	0.161363636	0.952805836	0.005168372	0.004901961	7.5	0.815773359	2.835751894
4955	2	Control	41.37218297	-83.79889	Weston	Ag	0.0001819	0.9998181	1	M	44.5	0.030498069	1.536842105	0.553672316	0.208129944	1.212514124	0.006024096	0.012048193	8	0.648342105	0.957236842
5110	107	Control	39.05562996	-84.89810603	Aurora	Nat	0.4820848	0.5179152	3	M	36.8	0.058825112	1.527035056	0.614484004	0.274260956	1.426330065	0.011608704	0.01806679	7.2	0.816514557	2.25828164
4820	90	Control	40.17519498	-90.26269396	Hickory	Ag	0.767776	0.232224	11	M	42.25	0.081069698	2.011111111	0.512325603	0.245764989	1.359106335	0.010643653	0.010878465	6	0.629083333	1.8575
5015	176	Control	41.37218297	-83.79889	Weston	Ag	0.5507098	0.4492902	1	M	33.5	0.096789474	1.192156863	0.565335753	0.305571688	1.301270417	0.012603044	0.01862714	9	0.481901961	1.498078431
5227	14	Control	38.66890403	-90.63545798	Chesterfield	Ag	0.996414	0.003586	7	M	52	0.066424924	0.894137052	0.514956456	0.136685203	1.374564311	0.010304145	0.012526367	6.166666667	0.610847953	1.905065977
5234	50	Control	38.6589929	-90.7440433	WSCSoy2	Ag	0.924538	0.075462	8	M	50.66666667	0.061983093	0.96969697	0.485374011	0.158934307	1.106841776	0.004065041	0	6.666666667	0.730478469	2.460318979
5086	161	Control	41.37218297	-83.79889	Weston	Ag	0.4464206	0.5535794	1	M	28	0.028332264	1.625859435	0.616071429	0.303928571	1.691964286	0.01192147	0.020156642	9.5	0.613042399	1.195473644
4965	92	Control	40.55406597	-89.48221204	Allentown	Ag	0.9477908	0.0522092	12	M	48.5	0.077907279	1.021367521	0.391659684	0.185097843	1.242761392	0.013461398	0.003436426	6.25	0.599893162	2.092510684
5242	78	Control	38.755485	-89.272475	Mulberry	Ag	0.6414819	0.3585181	5	M	43.75	0.088849778	1.236363636	0.551949934	0.269301449	1.469920949	0.007260101	0.008285985	7.25	0.693299465	2.852572193
4806	15	Control	38.65643696	-90.73639403	WeldonSprings	Nat	0.6800398	0.3199602	8	M	40	0.058191512	1.182854183	0.725925926	0.220074074	1.489259259	0.003584229	0.006820475	6.333333333	0.972434602	2.877904688
5343	47	Control	38.558781	-90.447501	Greentree	Nat	0.8514007	0.1485993	7	M	41.5	0.071211111	4.039285714	0.472088836	0.249735894	1.712635054	0.006666667	0.03	8	0.583142857	1.597964286
4814	20	Control	39.463458	-91.98047097	Jackson	Ag	0.5349583	0.4650417	10	M	47.6	0.094174866	1.400606061	0.502548039	0.197720248	1.611233609	0.009242542	0.007054844	8.6	0.632951515	1.495555556
4830	19	Control	39.46407096	-91.68243396	MarkTwain	Nat	0.5663931	0.4336069	10	M	56	0.043519033	1.375	0.46875	0.186588542	1.21875	0.006493506	0	10	0.605196078	1.474215686
5138	175	Control	41.55656599	-83.66247503	Maume	Nat	0.2028374	0.7971626	1	M	27.5	0.03945995	2.04654387	0.681444115	0.332448432	1.60815106	0.006996337	0.016599527	7.75	0.83870915	2.436130422
5321	156	Control	39.001464	-95.239938	Kansas	Nat	0.9428472	0.0571528	16	M	44.66666667	0.142467862	1.634469697	0.640511449	0.209776727	1.755367019	0	0.007923113	6	0.778465909	2.192897727
5249	116	Control	38.66890403	-90.63545798	Chesterfield	Ag	0.495381	0.504619	7	M	48.66666667	0.092711938	0.583838384	0.617328996	0.175888348	1.585049517	0	0.004385965	7.333333333	0.990737374	2.564838384
4854	76	Control	39.305104	-88.139778	Greenup	Ag	0.9941799	0.0058201	4	M	50.42857143	0.076412728	1.704554426	0.425459106	0.201888572	1.148473638	0.005809973	0.001792115	6.142857143	0.663910647	2.269953226
5040	69	Control	41.55656599	-83.66247503	Maume	Nat	0.230027	0.769973	1	M	37.5	0.063748828	1.87394958	0.62802276	0.328826458	1.644381223	0.015164148	0.010213653	7.5	0.917478992	2.21710084
5156	152	Control	41.15132703	-87.89857297	Kakanee	Nat	0.9220083	0.0779917	14	M	49	0.070128289	1.820506536	0.510822736	0.185501934	1.272986589	0.007675439	0	7.25	0.685869281	2.055798203
5163	185	Control	38.927036	-95.241462	Lawrence	Nat	0.557314	0.442686	17	M	49.4	0.124569605	0.705194805	0.458101072	0.221823524	1.590367298	0.008790144	0.007206534	8.8	0.952840909	2.783428571
5170	118	Control	38.6589929	-90.7440433	WSCSoy2	Ag	0.8826387	0.1173613	8	M	48	0.066050439	1.80258467	0.424595142	0.178003543	0.957068151	0.006980994	0.003508772	7.666666667	1.012914439	2.788727718
5079	7	Control	39.393248	-88.163216	FoxRidge	Nat	0.9563598	0.0436402	4	M	55	0.030264516	0.571428571	0.31063901	0.118338909	1.350802944	0	0	10	1.119642857	1.835357143
5204	67	Control	38.927036	-95.241462	Lawrence	Nat	0.857179	0.142821	17	M	59	0.099049232	0.806944444	0.43457603	0.152547647	1.157767453	0.013348722	0.004016064	8.25	0.899791667	2.205069444
4902	166	Control	38.66783702	-91.55559699	Gascondale	Nat	0.8136391	0.1863609	9	M	43.8	0.101969287	1.783940054	0.499586407	0.196607846	1.523521632	0.010689175	0.016144547	6.6	0.562624426	2.138432828
4977	151	Control	40.87326997	-88.62446599	Pontiac	Nat	0.9082115	0.0917885	13	M	36.5	0.099289383	1.383333333	0.614408114	0.247448812	1.573914824	0.008808184	0.005796136	6.75	0.666854167	1.941090278
5171	99	Control	39.001464	-95.239938	Kansas	Nat	0.6061036	0.3938964	16	M	46.5	0.069098189	1.284741674	0.51418786	0.186886512	1.366072308	0.001602564	0	5.5	0.807555322	2.119106832
5244	132	Control	38.988681	-95.215847	Nunemaker	Ag	0.7217884	0.2782116	16	M	51.75	0.089508918	1.416452991	0.619231812	0.192904916	1.397772223	0.013174838	0.005589368	6.75	0.698805556	2.048088675
5145	22	Control	40.17519498	-90.26269396	Hickory	Ag	0.8729071	0.1270929	11	M	49	0.05465613	2.359210526	0.451108214	0.174448066	1.398783138	0.011906449	0	6.5	0.631039474	1.434171053
5116	43	Control	38.732444	-89.277403	Keysport	Nat	0.8317708	0.1682292	5	M	40.8	0.086899542	0.93166249	0.579240912	0.226169582	1.849834395	0.017668538	0.010406793	6.2	0.800448956	2.362583626
5221	154	Control	41.31732501	-86.746256	Knox	Nat	0.3721722	0.6278278	15	M	42	0.05282906	2.784173669	0.665119357	0.274689316	1.558354965	0	0.007491582	7	0.720917367	1.354239496
5287	159	Control	38.782048	-95.171401	Baldwin	Ag	0.9283953	0.0716047	17	M	43	0.124135491	0.973809524	0.707663034	0.229422245	1.605172116	0.007329548	0.004166667	9.666666667	1.135071429	3.313309524
5223	179	Control	38.732444	-89.277403	Keysport	Nat	0.6044108	0.3955892	5	M	41	0.148599954	0.952380952	0.558928571	0.237964286	1.759642857	0.006329114	0.012658228	10	1.00702381	3.130654762
5247	155	Control	41.35604002	-86.73699299	Prairie	Ag	0.7499482	0.2500518	15	M	40	0.133721131	2.426987827	0.571116384	0.247840682	1.539846404	0.004166667	0	6.166666667	0.588165695	2.140498834
5262	126	Control	40.82949003	-88.66930699	HWY66	Ag	0.9391587	0.0608413	13	M	41	0.093495459	2.01000817	0.577512255	0.207794118	1.230147059	0.002906977	0.002906977	6.75	0.733126362	2.044634395
4887	60	Control	40.82949003	-88.66930699	HWY66	Ag	0.8487641	0.1512359	13	M	37.66666667	0.059014065	2.317094017	0.60029943	0.193410844	1.524532378	0.011096974	0.007923113	6	0.605487179	1.613452991
4888	160	Control	41.55656599	-83.66247503	Maume	Nat	0.4309005	0.5690995	1	M	37.16666667	0.08094181	0.835098235	0.591665883	0.296160507	1.831569347	0.009470058	0.016580798	7.666666667	0.778236652	1.592397158
5387	167	Control	38.63920603	-91.51230698	Hernan	Ag	0.9998246	0.0001754	9	M	43.33333333	0.209749722	1.937611408	0.591352495	0.266844179	1.999641243	0.008338545	0.012612049	7	0.643262032	1.454705882
5258	80	Control	38.670222	-90.065665	Granite	Ag	0.8583841	0.1416159	6	M	63.75	0.108754493	1.265601504	0.431601815	0.148826002	1.031245865	0.003012048	0.00570022	6	0.587770677	1.785490602
4989	62	Control	41.16467102	-87.81988903	Bradley	Ag	0.7736577	0.2263423	14	M	40	0.045720172	0.900854701	0.527827708	0.223352553	1.567593054	0.004492972	0	7.2	0.643034188	1.66867094
5380	56	Control	40.17519498	-90.26269396	Hickory	Ag	0.8110245	0.1889755	11	M	44.71428571	0.07812434	1.326308195	0.497103534	0.170161187	1.380401714	0.009469889	0.00617284	6.857142857	0.733349814	2.275006304
5183	29	Control	41.31732501	-86.746256	Knox	Nat	0.4164501	0.5835499	15	M	41	0.046126626	1.591176471	0.533492823	0.205251196	1.588516746	0.006578947	0.019736842	9.5	0.624735294	0.995294118
4813	101	Control	38.927036	-95.241462	Lawrence	Nat	0.9918205	0.0081795	17	M	50.75	0.06204197	2.121943115	0.589809083	0.158295846	1.242461686	0.0078125	0	6	0.753926103	2.724506247
4801	86	Control	38.63920603	-91.51230698	Hernan	Ag	0.964014	0.035986	9	M	45.5	0.100204974	1.631578947	0.714285714	0.190306122	1.440816327	0.00625	0	5	0.435676692	1.393546366
4886	180	Control	38.755485	-89.272475	Mulberry	Ag	0.5982739	0.4017261	5	M	NA	NA	0.6	NA	NA	NA	0	0.012195122	6	0.819	3.661
5320	85	Control	38.66783702	-91.55559699	Gascondale	Nat	0.9999996	4.00E-07	9	M	42.6	0.058374163	1.025339938	0.439510504	0.167004307	1.675126183	0	0.002008032	7.666666667	0.710548951	2.475025058
5206	189	Control	39.393248	-88.163216	FoxRidge	Nat	0.8706399	0.1293601	4	M	44.8	0.073375424	1.795	0.685022101	0.201690968	1.566565277	0.002604167	0.002439024	7.4	0.806593687	2.114083586
5219	3	Control	41.03727398	-83.81345096	Blanchard	Nat	0.528683	0.471317	2	M	36	0.058795612	0.790966387	0.538613691	0.267426614	1.854191033	0.004166667	0.016046099	9	0.917885154	0.897102591
5238	184	Control	38.988681	-95.215847	Nunemaker	Ag	0.9996581	0.0003419	16	M	43.4	0.07382677	1.660732323	0.530166714	0.229464111	1.676490007	0.012958923	0.004210993	6.8	0.838092172	2.446593434
4939	147	Control	38.66783702	-91.55559699	Gascondale	Nat	1	0	9	M	43.85714286	0.081718159	1.659983292	0.505307019	0.202561678	1.51176946	0.005992063	0	7.714285714	0.900555556	2.355116437
5147	142	Control	38.755485	-89.272475	Mulberry	Ag	0.8301889	0.1698111	5	M	45.5	0.12976699	2.291666667	0.568382353	0.240580882	1.772794118	0.009708738	0	6.5	1.060333333	2.824833333
5239	165	Control	38.755485	-89.272475	Mulberry	Ag	0.4301956	0.5698044	5	M	43.4	0.124104328	1.732894737	0.59595215	0.227854063	1.61192125	0.014272894	0.015243342	7.4	0.871563158	3.004173684
5213	168	Control	40.57469501	-89.65567603	Pekin	Nat	0.333277	0.666723	12	M	42	0.098004702	1.526565657	0.531686239	0.242684855	1.509411441	0.00873159	0.002409639	5.4	0.82610101	2.833037374
5271	32	Control	38.988681	-95.215847	Nunemaker	Ag	1	0	16	M	58	0.111807229	1.297727273	0.403563941	0.154231806	0.96934711	0.005319149	0	5.5	0.701477273	2.3125
5008	112	Control	38.755485	-89.272475	Mulberry	Ag	0.8092626	0.1907374	5	M	38	0.067352026	1.045940171	0.545102185	0.254925035	1.4562177	0.013578672	0.016182838	7	0.703337607	2.670723291
5400	148	Control	38.63920603	-91.51230698	Hernan	Ag	0.5837317	0.4162683	9	M	36	NA	2.897916667	0.654024768	0.234744582	1.715557276	0.004854369	0	8	0.7099375	2.029166667
4802	24	Control	40.55406597	-89.48221204	Allentown	Ag	0.5397369	0.4602631	12	M	62.5	0.054977886	0.481944444	0.325670158	0.098975047	0.736343003	0.01018069	0.004854369	6.5	0.875185185	1.659069444
4876	35	Control	41.55656599	-83.66247503	Maume	Nat	0.5681013	0.4318987	1	M	29	0.075661652	1.881818182	0.609195402	0.313563218	1.754022989	0.012244152	0.010962859	7.666666667	0.647259259	1.254107744
4907	8	Control	39.305104	-88.139778	Greenup	Ag	0.9091245	0.0908755	4	M	40	0.0722728	0.988304094	0.536430375	0.172772854	1.304700758	0.011075476	0.004065041	7.8	0.990765322	2.092039113
