Env,Pop,Family,Position,Treatment,Lat,Long,Pair,GH,GH_Block,Roof_Block,Germ,Germ_JD,Hypocotyl(mm),Cotyledon(mm),LeafNum,Date_of_1Meas,Harvest Julian Day,Flowering Time,StemWidth,PlantHeight,NodeNum,Late,Broken,Sex,Dry Biomass,Flower Color,485,530,590,IsBlank,Soy Germ,Stem Colour
Natural,Pekin,23,2017,Control,40.57469501,-89.65567603,12,1,B,4,6,187,29.63,11.1,22,200,277,254,10.41,110.6,35,0,0,F,21.17,1,752,1018,1480,0,na,0
Natural,WeldonSprings,49,2018,Soy,38.65643696,-90.73639403,8,1,D,4,6,187,26.78,8.03,16,200,277,254,5.56,97.7,29,1,0,M,4.85,0,1107,1030,1753,0,1,0
Agricultural,Mccombe,38,2019,Soy,41.06360497,-83.78943597,2,1,C,4,10,191,31.26,8.97,6,200,277,235,4.29,67,19,0,0,M,2.69,0,755,722,1081,0,0,1
Agricultural,Greenup,140,2020,Water,39.305104,-88.139778,4,2,W,4,5,186,21.27,12.54,36,200,277,235,10.33,107,45,1,0,M,15.11,1,2406,1569,3255,0,na,2
Natural,Pekin,150,2021,Soy,40.57469501,-89.65567603,12,2,D,4,7,188,28.58,7.08,14,200,277,249,10.57,99.8,24,0,0,F,,0,1914,1163,2412,0,1,
Agricultural,Granite,114,2022,Water,38.670222,-90.065665,6,2,A,4,7,188,37.17,7.21,12,200,277,232,10.14,85,22,0,0,M,5.47,1,1232,880,1625,0,na,1
Agricultural,Mccombe,38,2023,Control,41.06360497,-83.78943597,2,1,C,4,5,186,30.11,8.59,20,200,277,224,5.03,59,21,0,0,M,2.99,0,496,585,878,0,na,0
Agricultural,Jackson,88,2024,Water,39.463458,-91.98047097,10,1,G,4,9,190,26.52,12.35,5,200,277,239,11.05,86,31,0,0,F,18.92,0,645,501,1284,0,na,1
Natural,Kakanee,61,2025,Control,41.15132703,-87.89857297,14,1,W,4,,FALSE,,6.18,2,199,277,254,4.76,24.5,11,0,0,NA,,,51,138,129,1,na,
Agricultural,AgLaughrey,40,2026,Control,39.01893298,-84.92674196,3,1,W,4,10,191,21.31,11.06,4,199,277,229,7.78,66.2,22,0,0,F,8.07,1,442,372,535,0,na,2
Agricultural,Weston,2,2027,Soy,41.37218297,-83.79889,1,1,A,4,9,190,21.12,9.18,4,199,277,233,5.2,53,13,1,0,M,,,50,132,122,1,0,0
Agricultural,Nunemaker,100,2028,Soy,38.988681,-95.215847,16,1,W,4,6,187,36.28,10.36,19,199,277,226,7.61,64,24,0,0,F,9.54,1,1387,1483,2493,0,na,
Agricultural,Prairie,30,2029,Control,41.35604002,-86.73699299,15,1,B,4,10,191,14.91,5.81,4,200,277,259,3.44,28,13,0,0,M,0.21,0,1608,1175,2157,0,na,0
Natural,Pontiac,151,2030,Water,40.87326997,-88.62446599,13,2,D,4,7,188,25.26,10.36,14,200,277,224,10.17,81,23,0,0,F,11,1,1116,929,1707,0,na,1
