"Ind"	"Lat"	"Long"	"Pop"	"Env"	"K1"	"K2"	"Pair"
"7_2"	42.16278	-82.7525	"Essex"	"Ag"	1	0	NA
"7_5"	42.16278	-82.7525	"Essex"	"Ag"	0.9997273	0.0002727	NA
"7_7"	42.16278	-82.7525	"Essex"	"Ag"	0.993378	0.006622	NA
"7_10"	42.16278	-82.7525	"Essex"	"Ag"	0.9992443	0.0007557	NA
"7_12"	42.16278	-82.7525	"Essex"	"Ag"	0.996774	0.003226	NA
"7_14"	42.16278	-82.7525	"Essex"	"Ag"	0.9999998	2e-07	NA
"9_1"	42.16417	-82.73944	"Essex"	"Ag"	1	0	NA
"9_4"	42.16417	-82.73944	"Essex"	"Ag"	1	0	NA
"9_5"	42.16417	-82.73944	"Essex"	"Ag"	1	0	NA
"9_6"	42.16417	-82.73944	"Essex"	"Ag"	0.9999199	8.01e-05	NA
"9_7"	42.16417	-82.73944	"Essex"	"Ag"	1	0	NA
"9_9"	42.16417	-82.73944	"Essex"	"Ag"	1	0	NA
"9_10"	42.16417	-82.73944	"Essex"	"Ag"	1	0	NA
"9_11"	42.16417	-82.73944	"Essex"	"Ag"	1	0	NA
"15_3"	42.62056	-82.49472	"Walpole"	"Ag"	0.2075626	0.7924374	NA
"15_5"	42.62056	-82.49472	"Walpole"	"Ag"	0.1741132	0.8258868	NA
"15_6"	42.62056	-82.49472	"Walpole"	"Ag"	0.1793355	0.8206645	NA
"15_7"	42.62056	-82.49472	"Walpole"	"Ag"	0.1480807	0.8519193	NA
"15_10"	42.62056	-82.49472	"Walpole"	"Ag"	0.1822398	0.8177602	NA
"15_11"	42.62056	-82.49472	"Walpole"	"Ag"	0.1336851	0.8663149	NA
